TRACK,LABEL,METHOD,CURVE
57,feature.Area.og1.IDF_PLI_H,,27
57,feature.Area.og1.total,,27
57,feature.Area.og2.IDF_PLI_H,,1
57,feature.Area.og2.total,,1
57,feature.Yield.managed.Total,,83
58,feature.Area.og1.IDF_FDI_M,,0
58,feature.Area.og1.total,,0
58,feature.Area.og2.IDF_FDI_M,,1
58,feature.Area.og2.total,,1
58,feature.Area.unmanaged,,2
58,feature.Yield.unmanaged.Total,,85
59,feature.Area.managed,,2
59,feature.Area.og1.IDF_FDI_M,,0
59,feature.Area.og1.total,,0
59,feature.Area.og2.IDF_FDI_M,,1
59,feature.Area.og2.total,,1
59,feature.Yield.managed.Total,,86
60,feature.Area.managed,,2
60,feature.Area.og1.IDF_FDI_M,,0
60,feature.Area.og1.total,,0
60,feature.Area.og2.IDF_FDI_M,,1
60,feature.Area.og2.total,,1
60,feature.Yield.managed.Total,,86
61,feature.Area.og1.IDF_FDI_L,,67
61,feature.Area.og1.total,,67
61,feature.Area.og2.IDF_FDI_L,,8
61,feature.Area.og2.total,,8
61,feature.Area.unmanaged,,9
61,feature.Yield.unmanaged.Total,,88
62,feature.Area.managed,,2
62,feature.Area.og1.IDF_FDI_L,,18
62,feature.Area.og1.total,,18
62,feature.Area.og2.IDF_FDI_L,,1
62,feature.Area.og2.total,,1
62,feature.Yield.managed.Total,,89
63,feature.Area.og1.SBPS_PLI_M,,91
63,feature.Area.og1.total,,91
63,feature.Area.og2.SBPS_PLI_M,,1
63,feature.Area.og2.total,,1
63,feature.Area.unmanaged,,2
63,feature.Yield.unmanaged.Total,,92
64,feature.Area.managed,,2
64,feature.Area.og1.SBPS_PLI_M,,91
64,feature.Area.og1.total,,91
64,feature.Area.og2.SBPS_PLI_M,,1
64,feature.Area.og2.total,,1
64,feature.Yield.managed.Total,,93
65,feature.Area.og1.IDF_FDI_M,,0
65,feature.Area.og1.total,,0
65,feature.Area.og2.IDF_FDI_M,,1
65,feature.Area.og2.total,,1
65,feature.Area.unmanaged,,2
65,feature.Yield.unmanaged.Total,,95
66,feature.Area.og1.MS_PL_H,,96
66,feature.Area.og1.total,,96
66,feature.Area.og2.MS_PL_H,,1
66,feature.Area.og2.total,,1
66,feature.Area.unmanaged,,2
66,feature.Yield.unmanaged.Total,,97
67,feature.Area.managed,,9
67,feature.Area.og1.MS_PL_H,,98
67,feature.Area.og1.total,,98
67,feature.Area.og2.MS_PL_H,,8
67,feature.Area.og2.total,,8
67,feature.Yield.managed.Total,,99
68,feature.Area.og1.IDF_FDI_H,,11
68,feature.Area.og1.total,,11
68,feature.Area.og2.IDF_FDI_H,,1
68,feature.Area.og2.total,,1
68,feature.Area.unmanaged,,2
68,feature.Yield.unmanaged.Total,,101
69,feature.Area.managed,,2
69,feature.Area.og1.IDF_FDI_H,,11
69,feature.Area.og1.total,,11
69,feature.Area.og2.IDF_FDI_H,,1
69,feature.Area.og2.total,,1
69,feature.Yield.managed.Total,,102
70,feature.Area.og1.SBS_FDI_L,,104
70,feature.Area.og1.total,,104
70,feature.Area.og2.SBS_FDI_L,,8
70,feature.Area.og2.total,,8
70,feature.Area.unmanaged,,9
70,feature.Yield.unmanaged.Total,,105
71,feature.Area.managed,,2
71,feature.Area.og1.SBS_FDI_L,,106
71,feature.Area.og1.total,,106
71,feature.Area.og2.SBS_FDI_L,,1
71,feature.Area.og2.total,,1
71,feature.Yield.managed.Total,,107
72,feature.Area.managed,,2
72,feature.Area.og1.SBS_FDI_L,,106
72,feature.Area.og1.total,,106
72,feature.Area.og2.SBS_FDI_L,,1
72,feature.Area.og2.total,,1
72,feature.Yield.managed.Total,,107
73,feature.Area.og1.MS_PL_H,,96
73,feature.Area.og1.total,,96
73,feature.Area.og2.MS_PL_H,,1
73,feature.Area.og2.total,,1
73,feature.Area.unmanaged,,2
73,feature.Yield.unmanaged.Total,,109
74,feature.Area.managed,,2
74,feature.Area.og1.MS_PL_H,,96
74,feature.Area.og1.total,,96
74,feature.Area.og2.MS_PL_H,,1
74,feature.Area.og2.total,,1
74,feature.Yield.managed.Total,,110
75,feature.Area.og1.MS_PL_H,,98
75,feature.Area.og1.total,,98
75,feature.Area.og2.MS_PL_H,,8
75,feature.Area.og2.total,,8
75,feature.Area.unmanaged,,9
75,feature.Yield.unmanaged.Total,,112
76,feature.Area.og1.SBPS_SX_H,,23
76,feature.Area.og1.total,,23
76,feature.Area.og2.SBPS_SX_H,,1
76,feature.Area.og2.total,,1
76,feature.Area.unmanaged,,2
76,feature.Yield.unmanaged.Total,,113
77,feature.Area.og1.SBPS_PL_M,,0
77,feature.Area.og1.total,,0
77,feature.Area.og2.SBPS_PL_M,,1
77,feature.Area.og2.total,,1
77,feature.Area.unmanaged,,2
77,feature.Yield.unmanaged.Total,,114
78,feature.Area.og1.SBPS_PLI_M,,115
78,feature.Area.og1.total,,115
78,feature.Area.og2.SBPS_PLI_M,,8
78,feature.Area.og2.total,,8
78,feature.Area.unmanaged,,9
78,feature.Yield.unmanaged.Total,,116
79,feature.Area.managed,,2
79,feature.Area.og1.SBPS_PLI_M,,91
79,feature.Area.og1.total,,91
79,feature.Area.og2.SBPS_PLI_M,,1
79,feature.Area.og2.total,,1
79,feature.Yield.managed.Total,,117
80,feature.Area.og1.SBPS_PL_L,,115
80,feature.Area.og1.total,,115
80,feature.Area.og2.SBPS_PL_L,,8
80,feature.Area.og2.total,,8
80,feature.Area.unmanaged,,9
80,feature.Yield.unmanaged.Total,,119
81,feature.Area.managed,,2
81,feature.Area.og1.SBPS_PL_L,,91
81,feature.Area.og1.total,,91
81,feature.Area.og2.SBPS_PL_L,,1
81,feature.Area.og2.total,,1
81,feature.Yield.managed.Total,,120
